scenario,seed,association_mode,config_hash,run_status,geometry_scale_factor_s,derived_range_min_m,derived_range_max_m,derived_nominal_altitude_m,calibration_domain_violation,num_real_targets,num_global_tracks_created,association_accuracy,num_identity_switch_events,has_identity_switch,epoch_level_identity_switches_total,has_epoch_level_identity_switch,same_timestamp_disagreement_occurred,fragmentation_events_total,excess_global_tracks_total,position_rmse_update_m,position_rmse_coasting_m,position_rmse_overall_m,velocity_rmse_update_mps,velocity_rmse_coasting_mps,velocity_rmse_overall_mps,num_samples_update,num_samples_coasting,track_availability_any_active_mean,track_availability_confirmed_mean,mean_nees_6d,mean_nis,num_nis_samples,drop_rate
geometry_inline,3001,position_only,dc2328da,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.14796676509609732,0.14798081797069768,0.14797612483662825,0.179459742253001,0.17962246852062622,0.17956813872050748,348,694,1.0,0.9942528735632183,4.387101437087337,5.530732509796758,347,0.0
geometry_inline,3001,full_state,3e628eda,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.14796676509609732,0.14798081797069768,0.14797612483662825,0.179459742253001,0.17962246852062622,0.17956813872050748,348,694,1.0,0.9942528735632183,4.387101437087337,5.530732509796758,347,0.0
geometry_inline,3002,position_only,dc2328da,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.08059312109469156,0.08070045040797044,0.08066462118421917,0.17135371143683434,0.1715081188476319,0.17145656638676607,348,694,1.0,0.9942528735632183,3.7445379576524505,5.686433148040211,347,0.0
geometry_inline,3002,full_state,3e628eda,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.08066155826414008,0.08076893174121098,0.08073308776753282,0.17147435357375784,0.17162906013803234,0.17157740781699307,348,694,1.0,0.9942528735632183,3.7531236318319428,5.6608684137317935,347,0.0
geometry_inline,3003,position_only,dc2328da,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.1499005128277247,0.14995912947646142,0.14993955563947933,0.17232184913951012,0.172446395607514,0.17240481044054357,348,694,1.0,0.9942528735632183,6.896410291509195,5.617162135320791,347,0.0
geometry_inline,3003,full_state,3e628eda,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.1498913000764798,0.14995060844076066,0.1499308036500314,0.17233356805380992,0.17245651681571383,0.172415464983959,348,694,1.0,0.9942528735632183,6.891040182604172,5.616938099661727,347,0.0
geometry_inline,3004,position_only,dc2328da,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.1508160926954955,0.15092490400003722,0.15088857267523254,0.16403381756057095,0.1641836643302271,0.164133634750703,348,694,1.0,0.9942528735632183,4.808877942889546,5.634141237830048,347,0.0
geometry_inline,3004,full_state,3e628eda,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.15084040125835113,0.1509492046024177,0.15091287593351574,0.16399295699958646,0.16414306519888683,0.16409294836580793,348,694,1.0,0.9942528735632183,4.80907446883663,5.605168059666118,347,0.0
geometry_inline,3005,position_only,dc2328da,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.12022255789434688,0.1200402976073774,0.1201011984073191,0.16216292144414715,0.1621704853603948,0.16216795925485866,348,694,1.0,0.9942528735632183,5.026871623931886,5.6046214103922924,347,0.0
geometry_inline,3005,full_state,3e628eda,completed,0.6923984912250535,74.57359974916373,95.0,69.23984912250535,False,1,1,1.0,0,False,0,False,False,0,0,0.12021517952125972,0.12003332767002486,0.12009409192750242,0.16229538459195134,0.16230300451283305,0.16230045970380474,348,694,1.0,0.9942528735632183,5.030007578301547,5.6038901090320445,347,0.0
